name	nickname	categorization	alias	PrimeBloomPeriod	description	distributions	png
芹叶牡丹	芹叶牡丹、波斯毛茛、芹菜花、陆莲花	草本花卉	植物界 被子植物门 双子叶植物纲 毛莨目 毛茛科	春季	芹叶牡丹的叶子像芹菜一样，花像牡丹，故名 “ 芹叶牡丹 ”。为多年生宿根草本。株高20厘米～40厘米，块根纺锤形，常数个聚生于根颈部；茎单生，或少数分枝，有毛；基生叶阔卵形，具长柄，茎生叶无柄，为2回3出羽状复叶；花单生或数朵顶生，花径3厘米～4厘米；花期4月～5月。分布于亚洲和欧洲。		571161a240958_140_120.jpg
红姜花	红花月桃	一年生草本花卉	植物界 被子植物门 单子叶植物纲 芭蕉目 姜科 姜花属		红姜花（学名：Hedychium coccineum Buch.-Ham.），姜科，姜花属多年生草本植物，高可达2m。叶片狭线形，穗状花序多较稠密，圆柱形，花红色。蒴果开裂，种子红色。6-8月开花，10月结果。红姜花产中国西藏、云南南部、广西。生于林中， 山谷林下，山谷林缘路边阴湿灌丛，山坡林中，山坡密林中，杂木林中阴湿地。印度、斯里兰卡亦有分布。红姜花繁殖采用分株繁殖、种子繁殖或组织培养法。该种花极美丽、可栽培供观赏。	红姜花生于海拔：700-2900米（多生于海拔900-1400米）的常绿阔叶林中。喜暖湿，耐荫。红姜花分布于中国西藏（墨脱）、云南南部、广西自治区、贵州省；沿喜马拉雅诸国及斯里兰卡、缅甸、印度、越南也有分布。	557461fd04671_140_120.jpg
集圆	老十圆、十圆、十圆梅、畹香	兰科花卉	植物界 被子植物门 单子叶植物纲 微子目 兰科 兰属	春季	集圆又名老十圆，为春兰『四大天王』之一。清光绪年（公元1850年），一云流高僧掘得；到清咸丰二年（公元1852年），浙江余姚张圣林选肓。携带至许霁楼先生处命名“十圆”而得名。后杭州高骏甫先生亦出同形梅瓣物，称为“集圆” 。花型：梅瓣，外三瓣着根结圆，故名集圆。有时开梅型水仙，三瓣稍长圆。五瓣分窠，小刘海舌，花色微带黄绿色，肩平，瓣肉厚。花容端庄，硬挺，花期长。叶型：老叶成斜垂型，叶尖钝，叶脉较深，叶质厚，脚壳低，苞叶绿中带微红。叶长25-30厘米。集圆是栽培品种，具有较高的园艺价值。	集圆原产于中国浙江宁波、余姚、嘉兴。集圆为园艺品种，健壮，容易生花，繁殖快，故为春兰中流传最广泛品种。	55be25247ac71_140_120.jpg
红鬼笔	深红鬼笔	草本花卉	植物界 真菌门 腹菌纲 鬼笔目 鬼笔科 鬼笔属	不开花	红鬼笔，别名：深红鬼笔，拉丁文名：Phallus rubicundus (Bosc.) Fr.属鬼笔目真菌子实体，菌盖近钟形，具网纹格，多生长于腐殖质多的地方，据说可以食用，洗去菌盖粘物，煮熟后可以食用，咀嚼酥脆，香嫩，与竹荪有点相似，不可吃太多，会引起身体发热。	红鬼笔分布于我国的广东、广西、海南、云南、贵州、湖南、河南、湖北、香港、西藏、陕西、新疆、甘肃、河北、辽宁、黑龙江、江苏等地。	558d8c431e01f_140_120.jpg
百香果	西番莲果、热情果、西番果、巴西果、鸡蛋果	藤本花卉	植物界 被子植物门 双子叶植物纲 金虎尾目 西番莲科 西番莲属	春季夏季	百香果，俗称“巴西果”、“鸡蛋果”，原产于巴西，属西番莲科。因其果汁营养丰富，气味特别芳香，可散发出香蕉、菠萝、柠檬、草莓、番桃、石榴等多种水果的浓郁香味而被举为“百香果”，又有“百香果”“果汁之王”之美称，因其果汁也是其英文名“Passionfruit”的译音，在国外还有“果汁之王”、“摇钱树”等美称。百香果花期4-7月。	百香果是种爬藤植物，原产巴西，果实香酸而风味隽永。原产大小安的列斯群岛，广植于热带和亚热带地区。?百香果在国内主要栽培于广东、海南、福建、云南、台湾，有时逸生于海拔180-1900米的山谷丛林中。	5b98f659a3499_140_120.jpg
碧玉藤	翡翠葛、绿玉藤、圆萼藤	藤本花卉	植物界 被子植物门 双子叶植物纲 蔷薇目 豆科 绿玉藤属	冬季春季	碧玉藤是它常叫的名字，原名翡翠葛（Strongylodon macrobotrys A. Gray）。和禾雀花为同属植物。碧玉藤翡翠葛又名翡翠葛，原产于菲律宾的热带雨林，为蝶形花科黎豆属木质藤本植物，花色蓝绿，如翡翠一般，惹人喜爱。	碧玉藤原产生于菲律宾的热带雨林中。	58fe033b75ffa_140_120.jpg
网纹草	费道花、银网草	多年生草本花卉	植物界    爵床科 网纹草属	秋季	网纹草又名费通草、红网纹草，为爵床科网纹草属植物。网纹草叶片清新美观，特别适合盆栽观赏。网纹草姿态轻盈，植株小巧玲珑，在观叶植物中属小型盆栽植物。由于叶脉清晰，叶色淡雅，纹理匀称，深受人们喜爱，是目前在欧美十分流行的盆栽小品种。其实网纹草的历史不长，自20世纪40年代被发现以来，仅仅半个世纪。至今，在欧美窗台，阳台和居室中己十分常见，说明网纹草有着特殊的魅力。网纹草叶片清新美观，特别适合盆栽观赏。用它摆放宾馆、商厦、机场的休息室、橱窗、大厅，无论单放或成片摆设，都能起到较好的效果。盆栽或吊盆用于居室点缀，摆放书桌、茶几或窗台，翠绿清秀，轻快柔和，让人感到新鲜、舒畅。小叶网纹草在欧美还常用于制作瓶景或箱景观赏，也别具一格。	网纹草原产南美秘鲁。爵床科植物大部分生长在热带地区，主要是草本、灌木，也有一些藤本或多刺植物，只有少数种类可以生长在温带地区，分布最广的地区为南亚、中南半岛、非洲、巴西和中美洲，在各种生境中都有分布，例如密林中、开阔森林中、灌木丛中、湿地中、峡谷中、沼泽中、海岸边、沿海红树林中等都能找到它们的踪迹。温带最常见的是生长在欧洲南部的虾蟆花（也叫莨力花、叶蓟），高达2米，大叶。	551f64f976d4e_140_120.jpg
面包树	面包果、罗蜜树、马槟榔、面磅树	乔木花卉	植物界  被子植物门  双子叶植物纲  蔷薇目 桑科  桂木属		"常绿乔木，高10-15米；树皮灰褐色，粗厚。叶大，互生，厚革质，卵形至卵状椭 圆形，长10-50厘米，成熟之叶羽状分裂，两侧多为3-8羽状深裂，裂片披针形，先 端渐尖，两面无毛，表面深绿色，有光泽，背面浅绿色，全缘，侧脉约10对；叶柄长8- 12厘米；托叶大，披针形或宽披针形，长10-25厘米，黄绿色，被灰色或褐色平贴柔毛。 花序单生叶腋，雄花序长圆筒形至长椭圆形或棒状，长7-30（-40)厘米，黄色；雄花 花被管状，被毛，上部2裂，裂片披针形，雄蕊1枚，花药椭圆形，雌花花被管状，子 房卵圆形，花柱长，柱头2裂，聚花果倒卵圆形或近球形，长宽比值为1-4，长15-30 厘米，直径8-15厘米，绿色至黄色，表面具圆形瘤状凸起，成熟褐色至黑色，柔软，内 面为乳白色肉质花被组成；核果椭圆形至圆锥形，直径约25毫米。栽培的很少核果或无 核果。	又称罗蜜树、马槟榔、面磅树。原产于马来半岛以及波利尼西亚，如今因人类传播而分布玻里尼西亚，印度南部，加勒比地区等热带地区。果实可食用，风味类似面包，因此而得名。"		http://pic1.huashichang.com/2018/0831/10/5b88aa137143a_140_120.jpg
奇唇兰	金鱼兰、倒挂兰	多年生草本花卉	植物界 被子植物门 双子叶植物纲  兰科 奇唇兰属	秋季	奇唇兰别名金鱼兰、倒挂兰。兰科、奇唇兰属多年生草本植物。原产于秘鲁、墨西哥。我国福建、台湾、广东等省有栽培。奇唇兰原产于秘鲁、墨西哥。我国福建、台湾、广东等省有栽培。 多年生草本。假鳞茎卵形，集生于短匍匐茎上，老时有皱纹。叶革质，长椭圆状披针形，浓绿色。花大，鲜黄褐色带有红斑，有香味。奇唇兰花期8月。	奇唇兰原产于秘鲁、墨西哥。我国福建、台湾、广东等省有栽培。	54d1c61385e6d_140_120.jpg
绿萝	绿萝、魔鬼藤、黄金葛、黄金藤	藤本花卉	植物界 被子植物门 单子叶植物纲 泽泻目 天南星科 绿萝属	不开花	绿萝又名黄金葛、魔鬼藤、黄金藤等，天南星科藤芋属植物。原产热带雨林地区，为天南星科常绿藤本植物。绿色的叶片上有黄色的斑块，其缠绕性强，有气根，通常有悬垂的枝条，叶片呈心形，翠绿而光亮，夹杂有黄色斑块，清心悦目。绿萝具有很高的观赏价值，人们常将其做成绿萝柱、壁挂、悬吊、水插和装饰石山等。蔓茎自然下垂，既能净化空气，又能充分利用空间，为呆板的柜面增加活泼的线条、明快的色彩。被誉为“海陆空植物”。绿萝生长于热带地区常攀援生长在雨林的岩石和树干上，可长成巨大的藤本植物。其缠绕性强，气根发达。绿萝属于天南星科植物，可以水培种植。绿萝原产中美、南美的热带雨林地区。为天南星科常绿藤本植物。绿萝是天南星科喜林芋属植物，属于攀藤观叶花卉。性喜温暖、潮湿环境，藤长可达数米，节间有气根，叶片会越长越大，叶互生，常绿。绿萝具有很高观赏价值，既能净化空气，又能充分利用了空间。现国内各地上海、江苏、福建、台湾、广东、广西等地均有人工园林居室养植。绿萝通常都是盆栽养殖在室内，摆在书房、客厅、办公室这些地方，它能带来美好的视觉感和净化环境的作用，在大型藤本植物中，绿萝和吊兰、常春藤都一样，具有强大的净化空气的效果，绿萝因为能吸收空气中的苯、甲醛等，所以被广泛种植在室内，植物从户外搬迁到室内种植难度大，接下来了解一下绿萝的养殖方法和注意事项。绿萝是非常优良的室内装饰植物之一。萝茎细软，叶片娇秀。绿萝缠绕性强，气生根发达，既可让其攀附于用棕扎成的圆柱上，摆于门厅、宾馆，也可培养成悬垂状置于书房、窗台，摆放在家具的柜顶上，任其蔓茎从容下垂，或在蔓茎垂吊过长后圈吊成圆环，宛如翠色浮雕，绿萝是一种较适合室内摆放的花卉。	绿萝原产中美、南美的热带雨林地区。现国内各地上海、江苏、福建、台湾、广东、广西等地均有人工园林居室养植。绿萝又名黄金葛, 自古已在世界广有分布，包括南澳大利亚，马来西亚，印度支那，中国，日本，印度。现代已被引进到世界大部分的热带和亚热带森林。原产中美、南美的热带雨林地区。现国内各地上海、江苏、福建、台湾、广东、广西等地均有人工园林居室养植。	5b836adb0921b_140_120.jpg
