name	nickname	categorization	alias	PrimeBloomPeriod	description	distributions	image
凤仙花	金凤花、好女儿花、指甲花、染指甲花、指甲草、小桃红、别碰我	一年生草本花卉	植物界 被子植物门 双子叶植物纲 杜鹃花目 凤仙花科 凤仙花属	夏季秋季	"凤仙花，又名指甲花、染指甲花、小桃红等。因其花头、翅、尾、足俱翘然如凤状，故又名金凤花。凤仙花属凤仙花科一年生草本花卉，原产中国和印度。 	凤仙花，又名指甲花、染指甲花、指甲草、小桃红、 别碰我等。拉丁学名Impatiens balsamina L，因其花头、翅、尾、足俱翘然如凤状，故又名金凤花。	凤仙花属凤仙花科一年生草本花卉，高60-100cm，全株分根、茎、叶子、花、果实和种子六个部分。产于印度和中国各地，因其花头、翅、尾、足俱翘然如凤状，故又名金凤花。可以食用，又能观赏、有药用价值，因和明矾配合有染指甲的作用，所以又称其为染指甲花。"	凤仙花原产中国、印度。中国各地庭园广泛栽培，为常见的观赏花卉。凤仙花在中国、印度和马来西亚都有种植。	http://pic1.huashichang.com/2013/0624/00/51c71f1168222_140_120.jpg
五彩石竹	中国石竹、洛阳石竹、石菊、绣竹、剪绒花、须苞石竹、美国石竹	多年生草本花卉	植物界 被子植物门 双子叶植物纲 中央种子目 石竹科 石竹属	夏季秋季	五彩石竹，别名：须苞石竹、美国石竹、十样锦，（学名：Dianthus barbatus L.）属中央种子目，石竹科多年生草本，高30-60厘米，叶片披针形，花瓣通常红紫色，有白点斑纹，蒴果卵状长圆形，花果期5-10月。五彩石竹耐寒而不耐酷暑，石竹可以全草或根入药。具清热利尿、破血通经之功效。同属植物300余种。原产中国东北，华北、长江流域及东南亚地区。	五彩石竹原产中国东北，华北、长江流域及东南亚地区，分布很广。除华南较热地区外，几乎中国各地均有分布。	http://pic1.huashichang.com/2013/0625/16/51c9538626410_140_120.jpg
天人菊	虎皮菊、老虎皮菊、忠心菊	一年生草本花卉	植物界 被子植物门 双子叶植物纲 菊目 菊科 天人菊属	夏季	天人菊（Gaillardia pulchella Foug.），又名虎皮菊、老虎皮菊（上海）。原产北美，中国中、南部广为栽培。天人菊耐干旱炎热，不耐寒，喜阳光，也耐半阴，宜排水良好的疏松土壤。天人菊耐风、抗潮、生性强韧，具耐旱特性，是良好的防风定砂植物。天人菊是美国奥克拉荷马州的州花，也是台湾澎湖县的县花。	天人菊原产于美国中部，是一种生长期很短的一年生植物，目前已由人工引种栽培。天人菊分布于北美洲、美洲热带、美洲大陆。	http://pic1.huashichang.com/2013/0626/14/51ca8b63da752_140_120.jpg
诸葛菜	菜子花、二月兰、紫金草、二月蓝	草本花卉	植物界 被子植物门 双子叶植物纲  十字花科 诸葛菜属	夏季	诸葛菜（二月兰），十字花科诸葛菜属，一年或二年生草本。因农历二月前后开始开蓝紫色花，故称二月兰。生长于平原、山地、路旁、地边。对土壤光照等条件要求较低，耐寒旱，生命力顽强。传说诸葛亮率军出征时曾采嫩梢为菜，故得名。	诸葛菜在中国东北、华北地区，遍及北方各省市。如辽宁、山西、甘肃、山东、河南、安徽、江苏、浙江、江西、湖北、四川、陕西等省。	http://pic1.huashichang.com/2013/0626/15/51ca968b855d7_140_120.jpg
半枝莲	并头草、牙刷草	多年生草本花卉	植物界 被子植物门 双子叶植物纲 管状花目 唇形科 马齿苋属	夏季	半枝莲（学名：Scutellaria barbata D. Don）是马唇形科黄芩属多年生草本植物。半支莲株高可达55厘米，丛生密集，花繁艳丽，花期又长，是装饰草地、坡地和路边的优良配花，亦宜花坛边缘和花境栽植，盆栽小巧玲珑，可陈列在阳台、窗台、走廊、门前、池边和庭院等多种场所观赏。半枝莲分布于阿根廷、巴西南部、乌拉圭以及中国大陆的公园等地，常生于逸生，原产于南美洲。半支莲全草入药，具有清热解毒、活血祛瘀、消肿止痛、抗癌等功能。性寒味酸，全草含多种维生素、微量元素及氨基酸等成分。有凉血解毒，散瘀止痛，消肿和清热利湿之功效。	半枝莲分布中国河北，山东，陕西南部，河南，江苏，浙江，台湾，福建，江西，湖北，湖南，广东，广西，四川，贵州，云南等省区。半枝莲在印度东北部，尼泊尔，缅甸，老挝，泰国，越南，日本及朝鲜也有。半枝莲模式标木采自尼泊尔。	http://pic1.huashichang.com/2013/0627/14/51cbdea8c88cc_140_120.jpg
秋英	秋樱	一年生草本花卉	植物界 被子植物门 双子叶植物纲 菊目 菊科 秋英属	夏季秋季	秋英（学名：Cosmos bipinnata Cav.）为一年生或多年生草本，高1-2米。根纺锤状，多须根，或近茎基部有不定根。茎无毛或稍被柔毛。叶二次羽状深裂，裂片线形或丝状线形。头状花序单生，径3-6厘米。总苞片外层披针形或线状披针形，近革质，淡绿色，具深紫色条纹。舌状花紫红色，粉红色或白色；舌片椭圆状倒卵形，长2-3厘米，宽1.2-1.8厘米，有3-5钝齿；管状花黄色，长6-8毫米，管部短，上部圆柱形，有披针状裂片。瘦果黑紫色，无毛，上端具长喙，有2-3尖刺。花期6-8月，果期9-10月。秋英为著名的观赏植物原产美洲墨西哥，中国栽培甚广，在路旁、田埂、溪岸也常自生。云南、四川西部有大面积归化，海拔可达2700米。	秋英原产墨西哥及南美其他地区。在中国各地广泛栽培。	http://pic1.huashichang.com/2013/0627/14/51cbe13a1c4c7_140_120.jpg
扶桑花	朱槿、赤槿、妖精花	一年生草本花卉	植物界 被子植物门 双子叶植物纲 锦葵目 锦葵科 木槿属	四季	扶桑花H. rosa-sinensis别名朱槿、大红花、朱槿牡丹 、妖精花等。为锦葵科常绿大灌木。茎直立而多分枝，树冠远方形，高可达6米。叶互生，阔卵形至狭卵形，长7~10厘米，具3主脉，先端突尖或渐尖，叶缘有粗锯齿或缺刻，基部近全缘，秃净或背脉有少许疏毛，形似桑叶。花大，有下垂或直上之柄，单生于上部叶腋间，有单瓣、重瓣之分；单瓣者漏斗形，通常玫瑰红色，重瓣者非漏斗形，呈红、黄、粉、白等色，花期全年，夏秋最盛。	扶桑花原产中国，分布于福建、广东、广西、云南、四川诸省区。	http://pic1.huashichang.com/2013/0627/15/51cbe3ce40eb3_140_120.jpg
四季桂	四季桂花、日本桂花、月香桂、月月桂	乔木花卉	植物界 被子植物门 双子叶植物纲 玄参目 木樨科 木樨属	四季	四季桂，叶子对生，多呈椭圆或长椭圆形，叶面光滑，革质，叶边缘有锯齿；秋季开花，花簇生于叶腋，花冠分裂至基乳，有乳白、黄、橙红等色，极芳香；核果成熟后为紫黑色。花朵颜色稍白，或淡黄，香气较淡，叶片薄。是木樨属桂花的变种。与其他品种最大的差别就是它长年开花，即一年四季都会开花，所以四季桂的别称是月月桂（月月桂除了是四季桂的别名之外，还是四季桂的品种之一），但是其花香也是众多桂花中最淡的，几乎闻不到花香味。四季桂的品种又分为月桂、四季桂、佛顶珠、日香桂和天香台阁等。	四季桂在长江流域及其以南地区，北方地区多见盆栽。1、北亚热带落叶、常绿阔叶混交林区 （主要城市：南京、扬州、镇江、南通、常州、无锡、苏州、合肥、芜湖、安庆、淮南、襄樊、十堰）；2、中亚热带常绿、落叶阔叶林区 （主要城市：武汉、沙市、黄石、宜昌、南昌、景德镇、九江、吉安、井冈山、赣州、上海、长沙、株洲、岳阳、怀化、吉首、常德、湘潭、衡阳、邵阳、桂林、温州、金华、宁波、重庆、成都、都江堰、绵阳、内江、乐山、自贡、攀枝花、贵阳、遵义、六盘水、安顺、昆明、大理）；3、南亚热带常绿阔叶林区 （主要城市：福州、厦门、泉州、漳州、广州、佛山、顺德 、东莞、惠州、汕头、台北、柳州、桂平、个旧）。	http://pic1.huashichang.com/2013/0627/15/51cbeeba7567c_140_120.jpg
九龙桂	中华九龙桂	乔木花卉	植物界 被子植物门 双子叶植物纲 捩花目 木犀科 木犀属	秋季	九龙桂（学名：Osmanthus fragrans 'Jiulonggui'）：是四川原有的古老桂花品种。常绿灌木或小乔木。叶对生，单叶，叶片革质，全缘，两面通常具腺点；具叶柄。花两性，雌雄异株或雄花、两性花异株，聚伞花序簇生于叶腋，顶生的短小圆锥花序；苞片2枚，基部合生；花萼钟状，4裂；花冠白色或黄白色，呈钟状，圆柱形或坛状，裂片4枚，花蕾时呈覆瓦状排列；雄蕊2枚，着生于花冠管上部，药隔常延伸呈小尖头；子房2室，每室具下垂胚珠2枚，花柱长于或短于子房，柱头头状或2浅裂，不育雌蕊呈钻状或圆锥状。果为核果，椭圆形或歪斜椭圆形，内果皮坚硬或骨质，常具种子1枚；胚乳肉质；子叶扁平；胚根向上。染色体基数X=23。明、清年间，中国四川省地方官吏曾把九龙桂作为名贵花木，进贡给当时的朝庭。九龙桂集形美、花奇于一身，其独特的个性、神秘的色彩和深远的寓意，曾深得皇宫贵族的宠爱。栽培园艺品种，已在中国各地广泛引种，供观赏。		http://pic1.huashichang.com/2013/0627/16/51cbf2caa5fbb_140_120.jpg
金桂		乔木花卉	植物界 被子植物门 双子叶植物纲 唇形目 木樨科 木樨属	秋季	金桂（Osmamthus fragrans var. thunbergii），为木犀科木犀属常绿灌木或小乔木，是桂花树的一个变种。金桂花柠檬黄至金黄色，秋季开花，香气浓郁，叶片较厚。适应性强，耐阴。有“大花金桂”、大叶黄”、“潢川金桂”、“晚金桂”、“圆叶金桂” 、咸宁晚桂、球桂、圆辨金桂、柳叶苏桂、金师桂、波叶金桂等品种，是观赏价值、经济价值和实用价值都很高的桂花品种。	桂花原产中国西南部喜马拉雅山东段，印度、尼泊尔、柬埔寨也有分布。现四川、云南、广东、广西、湖北等省区均有野生，淮河流域至黄河下游以南各地普遍地栽，以北则多行盆栽。比较集中的产区为江苏的苏州光福，湖北的咸宁柏墩、浙江杭州满觉找、广西桂林阳朔、四川新乡桂朔等处。此外，武汉、南京、重庆、长沙等城市，近期都有大量种植。桂花在日本及印度均有栽培。18世纪70年代由中国广州传至英国，英国皇家邱园于1789年开始栽培，以后欧洲一些国家相继引种。不过，引种成功能够露地栽培的，还只是地中海沿岸的一些国家。经插种、扦插等等途径培行出来的1年生桂花幼苗，因抗旱抗寒抗瘠能力差，不宜立即作绿化苗使用，应先移栽到圃地内继续培植2—5年，待其长成中苗后，再移栽。	http://pic1.huashichang.com/2013/0627/16/51cbf569348a6_140_120.jpg
